Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
Apomorphine HCl,Apokyn,04/22/1993,Treatment of the on-off fluctuations associated with late-stage Parkinson's disease.,Designated/Approved,,"For the acute, intermittent treatment of hypomobility, ""off"" episodes (""end-of-dose-wearing-off"" and unpredictable :on/off"" episodes) associated with advanced Parkinson's disease",04/20/2004,04/20/2011,,"MDD US Operations, LLC, a subsidiary of Supernus Pharmaceuticals, Inc.",9715 Key West Avenue,,Rockville,Maryland,20850,United States,57591
apremilast,OTEZLA,01/17/2013,Treatment of Behcet's disease,Designated/Approved,,OTEZLA is indicated for the treatment of adult patients with oral ulcers associated with Beh_s Disease.,07/19/2019,07/19/2026,For the treatment of adult patients with oral ulcers associated with Beh_s disease,Amgen Inc.,One Amgen Center Drive,Mailstop: 27-2-D,Thousand Oaks,California,91320,United States,384812
Aprotinin,Trasylol,11/17/1993,"For prophylactic use to reduce perioperative blood loss and the homologous blood transfusion requirement in patients undergoing cardiopulmonary bypass surgery in the course of repeat coronary artery bypass graft surgery, and in selected cases of primary c",Designated/Approved,,,12/29/1993,12/29/2000,,Bayer Corporation,Pharmaceutical Division,400 Morgan Lane,West Haven,Connecticut,6516,United States,66992
aripiprazole,Abilify,01/25/2006,Treatment of Tourette's syndrome,Designated/Approved,,Treatment of pediatric patients with Tourette's,12/12/14,12/12/21,Treatment of pediatric patients with Tourette's,Otsuka Pharmaceutical Development,and Commercialization,1st Floor,Princeton,New Jersey,8540,United States,207905
Arsenic trioxide,Trisenox,3/03/98,Treatment of acute promyelocytic leukemia.,Designated/Approved,,"For induction of remission and consolidation in patients with acute promyelocytic leukemia (APL) who are refractory to, or have relapsed from, retinoid and anthracycline chemotherapy, and whose APL is characterized by the presence of the t(15;17) translocation of PML/RAR-alpha gene expression.",09/25/2000,09/25/2007,,"Teva Branded Pharmaceutical Products R&D, Inc.",41 Moores Road,,Frazer,Pennsylvania,19355,United States,109697
Arsenic trioxide,Trisenox,3/03/98,Treatment of acute promyelocytic leukemia.,Designated/Approved,,In combination with tretinoin for treatment of adults with newly-diagnosed low-risk acute promyelocytic leukemia (APL) whose APL is characterized by the presence of the t(15;17) translocation or PML/RAR-alpha gene expression.,1/12/18,1/12/25,In combination with tretinoin for treatment of adults with newly-diagnosed low-risk acute promyelocytic leukemia (APL) whose APL is characterized by the presence of the t(15;17) translocation or PML/RAR-alpha gene expression.,"Teva Branded Pharmaceutical Products R&D, Inc.",41 Moores Road,,Frazer,Pennsylvania,19355,United States,109697
artemether/lumefantrine,Coartem,08/31/2007,For the treatment of infections due to Plasmodium falciparum or mixed infections including P. falciparum.,Designated/Approved,,"Treatment of malaria in patients of 5 kg bodyweight or above with acute, uncomplicated malaria due to Plasmodium falciparum or mixed infections including P. falciparum",4/07/09,4/07/16,,Novartis Pharmaceuticals,Bldg 405/4051,One Health Plaza,East Hanover,New Jersey,7936,United States,245507
artesunate,,03/28/2006,Immediate treatment of malaria,Designated/Approved,,Artesunate for Injection is indicated for the initial treatment of severe malaria in adult and pediatric patients. Treatment of severe malaria with Artesunate for Injection should always be followed by a complete treatment course of an appropriate oral antimalarial regimen.,05/26/2020,05/26/2027,For the initial treatment of severe malaria in adult and pediatric patients to always be followed by a complete treatment course of an appropriate oral antimalarial regimen.,Amivas Inc.,"100 Tuscanney Drive, Suite B2",,Frederick,Maryland,21702,United States,221206
asciminib,Scemblix,02/27/2017,Treatment of chronic myelogenous leukemia,Designated/Approved,,"Treatment of adult patients with Philadelphia chromosome-positive chronic myeloid leukemia (Ph+ CML) in chronic phase (CP), previously treated with two or more tyrosine kinase inhibitors (TKIs)",10/29/2021,10/29/2028,"Treatment of adult patients with Philadelphia chromosome-positive chronic myeloid leukemia (Ph+ CML) in chronic phase (CP), previously treated with two or more tyrosine kinase inhibitors (TKIs)",Novartis Pharmaceutical Corporation,One Health Plaza,,East Hanover,New Jersey,7936,United States,556416
asciminib,Scemblix,02/27/2017,Treatment of chronic myelogenous leukemia,Designated/Approved,,Treatment of adult patients with Philadelphia chromosome-positive chronic myeloid leukemia (Ph+ CML) in chronic phase (CP) with the T315I mutation,10/29/2021,10/29/2028,Treatment of adult patients with Philadelphia chromosome-positive chronic myeloid leukemia (Ph+ CML) in chronic phase (CP) with the T315I mutation,Novartis Pharmaceutical Corporation,One Health Plaza,,East Hanover,New Jersey,7936,United States,556416
ascorbic acid,Ascor,08/31/2007,Treatment of scurvy,Designated/Approved,,"for the treatment of scurvy in adult and pediatric patients age 5 months and older for whom oral administrtaion is not possible, insufficient or contraindicated",10/02/17,10/02/24,"for the treatment of scurvy in adult and pediatric patients age 5 months and older for whom oral administrtaion is not possible, insufficient or contraindicated",McGuff Pharmaceuticals Inc.,2921 W. MacArthur Blvd.,Suite 141,Santa Ana,California,92704,United States,243707
Asfotase alfa,Strensiq,9/12/08,Treatment of hypophosphatasia,Designated/Approved,,For the treatment of patients with perinatal/infantile-and juvenile-onset hypophosphatasia (HPP),10/23/2015,10/23/2022,For the treatment of patients with perinatal/infantile-and juvenile-onset hypophosphatasia (HPP),"Alexion Pharmaceuticals, Inc.",100 College St.,,New Haven,Connecticut,6510,United States,266608
asparaginase erwinia chrysanthemi (recombinant)-rywn,Rylaze,06/22/2021,Treatment of Acute lymphoblastic leukemia,Designated/Approved,,As a component of a multi-agent chemotherapeutic regimen for the treatment of acute lymphoblastic leukemia (ALL) and lymphoblastic lymphoma (LBL) in adult and pediatric patients 1 month or older who have developed hypersensitivity to E. coli-derived asparaginase.,06/30/2021,,,Jazz Pharmaceuticals Ireland Limited,"Waterloo Exchange, Waterloo Road",Fifth floor,Dublin,,D04 E5W7,Ireland,773420
atezolizumab,TECENTRIQ,10/13/2016,Treatment of small cell lung cancer (SCLC),Designated/Approved,,"TECENTRIQ, in combination with carboplatin and etoposide, is indicated for the first-line treatment of adult patients with extensive-stage small cell lung cancer (ES-SCLC)",03/18/2019,03/18/2026,"TECENTRIQ, in combination with carboplatin and etoposide, is indicated for the first-line treatment of adult patients with extensive-stage small cell lung cancer (ES-SCLC)","Genentech, Inc.",1 DNA Way,,South San Francisco,California,94080,United States,541216
atezolizumab,TECENTRIQ,02/13/2017,"Treatment of Stage llb, llc, lll and IV melanoma",Designated/Approved,,indicated in combination with cobimetinib and vemurafenib for the treatment of patients with BRAF V600 mutation-positive unresectable or metastatic melanoma,07/30/2020,07/30/2027,indicated in combination with cobimetinib and vemurafenib for the treatment of patients with BRAF V600 mutation-positive unresectable or metastatic melanoma,"Genentech, Inc.",1 DNA Way,MS 35-5E,South San Francisco,California,94080,United States,550616
atezolizumab + bevacizumab,Tecentriq and Avastin,1/08/18,Treatment of hepatocellular carcinoma (HCC),Designated/Approved,,"TECENTRIQ, in combination with bevacizumab, for the treatment of patients with unresectable or metastatic hepatocellular carcinoma who have not received prior systemic therapy.",05/29/2020,05/29/2027,TECENTRIQ for the treatment of patients with unresectable or metastatic hepatocellular carcinoma who have not received prior systemic therapy.,"Genentech, Inc.",1 DNA Way,MS 451A,South San Francisco,California,94080,United States,619317
atezolizumab + bevacizumab,Tecentriq and Avastin,1/08/18,Treatment of hepatocellular carcinoma (HCC),Designated/Approved,,"AVASTIN, in combination with atezolizumab, for the treatment of patients with unresectable or metastatic hepatocellular carcinoma who have not received prior systemic therapy.",05/29/2020,05/29/2027,AVASTIN for the treatment of patients with unresectable or metastatic hepatocellular carcinoma who have not received prior systemic therapy.,"Genentech, Inc.",1 DNA Way,MS 451A,South San Francisco,California,94080,United States,619317
"atoltivimab, maftivimab, and odesivimab-ebgn",INMAZEB,07/14/2016,Treatment of ebola virus infection,Designated/Approved,,"treatment of infection caused by Zaire ebolavirus in adult and pediatric patients, including neonates born to a mother who is RT-PCR positive for Zaire ebolavirus infection",10/14/2020,10/14/2027,"treatment of infection caused by Zaire ebolavirus in adult and pediatric patients, including neonates born to a mother who is RT-PCR positive for Zaire ebolavirus infection","Regeneron Pharmaceuticals, Inc.",777 Old Saw Mill River Road,,Tarrytown,New York,10591,United States,536316
Atovaquone,Mepron,08/14/1991,"Prevention of Pneumocystis carinii pneumonia (PCP) in high-risk, HIV-infected patients defined by a history of one or more episodes of PCP and/or a peripheral CD4+ (T4 helper/inducer) lymphocyte count less than or equal to 200/mm3.",Designated/Approved,,Prevention of PCP in patients who are intolerant to trimethoprim-sulfamethoxazole.,1/05/99,1/05/06,,Glaxo Wellcome Research and Development,5 Moore Drive,PO Box 13398,Research Triangle Park,North Carolina,27709,United States,48990
Atovaquone,Mepron,9/10/90,Treatment of AIDS associated Pneumocystis Carinii Pneumonia.,Designated/Approved,,For the acute oral treatment of mild to moderate Pneumocystis carinii pneumonia in patients who are intolerant to trimethoprim-sulfamethoxazole.,11/25/1992,11/25/1999,,Glaxo Wellcome Inc.,5 Moore Drive,,Research Triangle Park,North Carolina,27709,United States,48890
avacopan,Tavneos,6/02/14,"Treatment of anti-neutrophil cytoplasmic autoantibodies associated vasculitides (granulomatosis with polyangiitis or Wegener's granulomatosis, microscopic polyangiitis, and Churg-Strauss syndrome).",Designated/Approved,,As an adjunctive treatment of adult patients with severe active anti-neutrophil cytoplasmic autoantibody (ANCA)-associated vasculitis (granulomatosis with polyangiitis [GPA] and microscopic polyangiitis [MPA]) in combination with standard therapy including glucocorticoids,10/07/21,10/07/28,As an adjunctive treatment of adult patients with severe active anti-neutrophil cytoplasmic autoantibody (ANCA)-associated vasculitis (granulomatosis with polyangiitis [GPA] and microscopic polyangiitis [MPA]),"ChemoCentryx, Inc.","835 Industrial Road, Suite 600",,San Carlos,California,94070,United States,432014
avalglucosidase alfa-ngpt,Nexviazyme,11/19/2013,Treatment of Pompe Disease,Designated/Approved,,Treatment of patients 1 year of age and older with late-onset Pompe disease (lysosomal acid alpha-glucosidase [GAA] deficiency),8/06/21,,,"Genzyme Corporation, a Sanofi Company",50 Binney Street,,Cambridge,Massachusetts,2142,United States,411913
avapritinib,Ayvakit,1/06/16,Treatment of gastrointestinal stromal tumors,Designated/Approved,,"Treatment of adults with unresectable or metastatic GIST harboring a platelet-derived growth factor receptor alpha (PDGFRA) exon 18 mutation, including PDGFRA D842V mutations",1/09/20,1/09/27,"Treatment of adults with unresectable or metastatic GIST harboring a platelet-derived growth factor receptor alpha (PDGFRA) exon 18 mutation, including PDGFRA D842V mutations",Blueprint Medicines Corporation,45 Sidney Street,Suite 200,Cambridge,Massachusetts,2139,United States,500415
avapritinib,Ayvakit,01/21/2016,Treatment of mastocytosis,Designated/Approved,,"Treatment of adult patients with advanced systemic mastocytosis (AdvSM). AdvSM includes patients with aggressive systemic mastocytosis (ASM), systemic mastocytosis with an associated hematological neoplasm (SM-AHN), and mast cell leukemia (MCL).",06/16/2021,06/16/2028,"Treatment of adult patients with advanced systemic mastocytosis (AdvSM). AdvSM includes patients with aggressive systemic mastocytosis (ASM), systemic mastocytosis with an associated hematological neoplasm (SM-AHN), and mast cell leukemia (MCL).",Blueprint Medicines Corporation,"45 Sidney Street, Suite 200",,Cambridge,Massachusetts,2139,United States,506515
avatrombopag maleate,,9/01/11,Treatment of idiopathic thrombocytopenic purpura,Designated/Approved,,DOPTELET is indicated for the treatment of thrombocytopenia in adult patients with chronic immune thrombocytopenia who have had an insufficient response to a previous treatment,06/26/2019,06/26/2026,For the treatment of thrombocytopenia in adult patients with chronic immune thrombocytopenia who have had an insufficient response to a previous treatment,"Sobi, Inc.",240 Leigh Farm Road,Suite 245,Durham,North Carolina,27707,United States,325110
